version,run,generation,value
crossover_prob__0_95,1,1,119850
crossover_prob__0_95,1,2,119850
crossover_prob__0_95,1,3,119850
crossover_prob__0_95,1,4,119850
crossover_prob__0_95,1,5,119211
crossover_prob__0_95,1,6,117995
crossover_prob__0_95,1,7,117229
crossover_prob__0_95,1,8,117211
crossover_prob__0_95,1,9,116331
crossover_prob__0_95,1,10,115356
crossover_prob__0_95,1,11,114970
crossover_prob__0_95,1,12,114362
crossover_prob__0_95,1,13,113362
crossover_prob__0_95,1,14,113317
crossover_prob__0_95,1,15,113203
crossover_prob__0_95,1,16,112678
crossover_prob__0_95,1,17,112462
crossover_prob__0_95,1,18,111538
crossover_prob__0_95,1,19,111369
crossover_prob__0_95,1,20,111369
crossover_prob__0_95,1,21,111276
crossover_prob__0_95,1,22,111063
crossover_prob__0_95,1,23,111063
crossover_prob__0_95,1,24,110819
crossover_prob__0_95,1,25,110051
crossover_prob__0_95,1,26,109703
crossover_prob__0_95,1,27,109703
crossover_prob__0_95,1,28,109272
crossover_prob__0_95,1,29,108901
crossover_prob__0_95,1,30,108901
crossover_prob__0_95,1,31,108901
crossover_prob__0_95,1,32,108230
crossover_prob__0_95,1,33,107482
crossover_prob__0_95,1,34,107178
crossover_prob__0_95,1,35,107178
crossover_prob__0_95,1,36,107152
crossover_prob__0_95,1,37,106680
crossover_prob__0_95,1,38,106680
crossover_prob__0_95,1,39,106588
crossover_prob__0_95,1,40,106588
crossover_prob__0_95,1,41,106588
crossover_prob__0_95,1,42,106212
crossover_prob__0_95,1,43,106207
crossover_prob__0_95,1,44,106207
crossover_prob__0_95,1,45,106207
crossover_prob__0_95,1,46,105975
crossover_prob__0_95,1,47,105849
crossover_prob__0_95,1,48,105527
crossover_prob__0_95,1,49,105522
crossover_prob__0_95,1,50,104906
crossover_prob__0_95,1,51,104906
crossover_prob__0_95,1,52,104874
crossover_prob__0_95,1,53,104623
crossover_prob__0_95,1,54,104518
crossover_prob__0_95,1,55,104129
crossover_prob__0_95,1,56,103832
crossover_prob__0_95,1,57,103832
crossover_prob__0_95,1,58,103331
crossover_prob__0_95,1,59,103331
crossover_prob__0_95,1,60,103126
crossover_prob__0_95,1,61,103126
crossover_prob__0_95,1,62,103122
crossover_prob__0_95,1,63,102675
crossover_prob__0_95,1,64,102675
