version,run,generation,value
mutation_structure_with_mutation_structure,1,1,119619
mutation_structure_with_mutation_structure,1,2,119619
mutation_structure_with_mutation_structure,1,3,119619
mutation_structure_with_mutation_structure,1,4,117654
mutation_structure_with_mutation_structure,1,5,117209
mutation_structure_with_mutation_structure,1,6,117085
mutation_structure_with_mutation_structure,1,7,117085
mutation_structure_with_mutation_structure,1,8,115157
mutation_structure_with_mutation_structure,1,9,115157
mutation_structure_with_mutation_structure,1,10,114235
mutation_structure_with_mutation_structure,1,11,114235
mutation_structure_with_mutation_structure,1,12,113610
mutation_structure_with_mutation_structure,1,13,113050
mutation_structure_with_mutation_structure,1,14,112211
mutation_structure_with_mutation_structure,1,15,112211
mutation_structure_with_mutation_structure,1,16,111723
mutation_structure_with_mutation_structure,1,17,110794
mutation_structure_with_mutation_structure,1,18,109578
mutation_structure_with_mutation_structure,1,19,109292
mutation_structure_with_mutation_structure,1,20,109292
mutation_structure_with_mutation_structure,1,21,109070
mutation_structure_with_mutation_structure,1,22,108986
mutation_structure_with_mutation_structure,1,23,108784
mutation_structure_with_mutation_structure,1,24,108300
mutation_structure_with_mutation_structure,1,25,108095
mutation_structure_with_mutation_structure,1,26,108095
mutation_structure_with_mutation_structure,1,27,107867
mutation_structure_with_mutation_structure,1,28,106527
mutation_structure_with_mutation_structure,1,29,106184
mutation_structure_with_mutation_structure,1,30,106184
mutation_structure_with_mutation_structure,1,31,105754
mutation_structure_with_mutation_structure,1,32,105386
mutation_structure_with_mutation_structure,1,33,105386
mutation_structure_with_mutation_structure,1,34,104825
mutation_structure_with_mutation_structure,1,35,104825
mutation_structure_with_mutation_structure,1,36,104825
mutation_structure_with_mutation_structure,1,37,104825
mutation_structure_with_mutation_structure,1,38,104825
mutation_structure_with_mutation_structure,1,39,104825
mutation_structure_with_mutation_structure,1,40,104825
mutation_structure_with_mutation_structure,1,41,104419
mutation_structure_with_mutation_structure,1,42,104419
mutation_structure_with_mutation_structure,1,43,104419
mutation_structure_with_mutation_structure,1,44,104419
mutation_structure_with_mutation_structure,1,45,104419
mutation_structure_with_mutation_structure,1,46,104419
mutation_structure_with_mutation_structure,1,47,104419
mutation_structure_with_mutation_structure,1,48,104304
mutation_structure_with_mutation_structure,1,49,104239
mutation_structure_with_mutation_structure,1,50,104239
mutation_structure_with_mutation_structure,1,51,104147
mutation_structure_with_mutation_structure,1,52,104124
mutation_structure_with_mutation_structure,1,53,104124
mutation_structure_with_mutation_structure,1,54,104032
mutation_structure_with_mutation_structure,1,55,104020
mutation_structure_with_mutation_structure,1,56,104020
mutation_structure_with_mutation_structure,1,57,103746
mutation_structure_with_mutation_structure,1,58,103746
mutation_structure_with_mutation_structure,1,59,103446
mutation_structure_with_mutation_structure,1,60,103446
mutation_structure_with_mutation_structure,1,61,103172
mutation_structure_with_mutation_structure,1,62,102743
mutation_structure_with_mutation_structure,1,63,102374
mutation_structure_with_mutation_structure,1,64,102011
mutation_structure_with_mutation_structure,1,65,102011
mutation_structure_with_mutation_structure,1,66,101437
mutation_structure_with_mutation_structure,1,67,101437
mutation_structure_with_mutation_structure,1,68,100854
mutation_structure_with_mutation_structure,1,69,100760
mutation_structure_with_mutation_structure,1,70,100441
mutation_structure_with_mutation_structure,1,71,100428
mutation_structure_with_mutation_structure,1,72,100147
mutation_structure_with_mutation_structure,1,73,99881
mutation_structure_with_mutation_structure,1,74,99549
mutation_structure_with_mutation_structure,1,75,99336
mutation_structure_with_mutation_structure,1,76,99097
mutation_structure_with_mutation_structure,1,77,99097
mutation_structure_with_mutation_structure,1,78,99097
mutation_structure_with_mutation_structure,1,79,99097
mutation_structure_with_mutation_structure,1,80,98924
mutation_structure_with_mutation_structure,1,81,98662
mutation_structure_with_mutation_structure,1,82,98662
mutation_structure_with_mutation_structure,1,83,98662
mutation_structure_with_mutation_structure,1,84,98371
mutation_structure_with_mutation_structure,1,85,98371
mutation_structure_with_mutation_structure,1,86,98371
mutation_structure_with_mutation_structure,1,87,98371
mutation_structure_with_mutation_structure,1,88,98125
mutation_structure_with_mutation_structure,1,89,98125
mutation_structure_with_mutation_structure,1,90,98125
mutation_structure_with_mutation_structure,1,91,98125
mutation_structure_with_mutation_structure,1,92,98125
mutation_structure_with_mutation_structure,1,93,98125
mutation_structure_with_mutation_structure,1,94,97368
mutation_structure_with_mutation_structure,1,95,97368
mutation_structure_with_mutation_structure,1,96,97017
mutation_structure_with_mutation_structure,1,97,96685
mutation_structure_with_mutation_structure,1,98,96685
mutation_structure_with_mutation_structure,1,99,96617
mutation_structure_with_mutation_structure,1,100,96505
mutation_structure_with_mutation_structure,2,1,119496
mutation_structure_with_mutation_structure,2,2,119496
mutation_structure_with_mutation_structure,2,3,119496
mutation_structure_with_mutation_structure,2,4,119496
mutation_structure_with_mutation_structure,2,5,118594
mutation_structure_with_mutation_structure,2,6,118594
mutation_structure_with_mutation_structure,2,7,117574
mutation_structure_with_mutation_structure,2,8,117368
mutation_structure_with_mutation_structure,2,9,114753
mutation_structure_with_mutation_structure,2,10,114121
mutation_structure_with_mutation_structure,2,11,113774
mutation_structure_with_mutation_structure,2,12,113026
mutation_structure_with_mutation_structure,2,13,112040
mutation_structure_with_mutation_structure,2,14,111565
mutation_structure_with_mutation_structure,2,15,111565
mutation_structure_with_mutation_structure,2,16,110780
mutation_structure_with_mutation_structure,2,17,110163
mutation_structure_with_mutation_structure,2,18,110163
mutation_structure_with_mutation_structure,2,19,109821
mutation_structure_with_mutation_structure,2,20,108466
mutation_structure_with_mutation_structure,2,21,107531
mutation_structure_with_mutation_structure,2,22,107531
mutation_structure_with_mutation_structure,2,23,107418
mutation_structure_with_mutation_structure,2,24,106700
mutation_structure_with_mutation_structure,2,25,106274
mutation_structure_with_mutation_structure,2,26,105776
mutation_structure_with_mutation_structure,2,27,104814
mutation_structure_with_mutation_structure,2,28,104814
mutation_structure_with_mutation_structure,2,29,104526
mutation_structure_with_mutation_structure,2,30,102714
mutation_structure_with_mutation_structure,2,31,102623
mutation_structure_with_mutation_structure,2,32,101662
mutation_structure_with_mutation_structure,2,33,100857
mutation_structure_with_mutation_structure,2,34,100545
mutation_structure_with_mutation_structure,2,35,99733
mutation_structure_with_mutation_structure,2,36,98379
mutation_structure_with_mutation_structure,2,37,98336
mutation_structure_with_mutation_structure,2,38,98336
mutation_structure_with_mutation_structure,2,39,96971
mutation_structure_with_mutation_structure,2,40,96968
mutation_structure_with_mutation_structure,2,41,96464
mutation_structure_with_mutation_structure,2,42,96220
mutation_structure_with_mutation_structure,2,43,96220
mutation_structure_with_mutation_structure,2,44,96220
mutation_structure_with_mutation_structure,2,45,96177
mutation_structure_with_mutation_structure,2,46,96177
mutation_structure_with_mutation_structure,2,47,95528
mutation_structure_with_mutation_structure,2,48,95528
mutation_structure_with_mutation_structure,2,49,95528
mutation_structure_with_mutation_structure,2,50,95102
mutation_structure_with_mutation_structure,2,51,95049
mutation_structure_with_mutation_structure,2,52,94748
mutation_structure_with_mutation_structure,2,53,94413
mutation_structure_with_mutation_structure,2,54,94322
mutation_structure_with_mutation_structure,2,55,94153
mutation_structure_with_mutation_structure,2,56,94007
mutation_structure_with_mutation_structure,2,57,93914
mutation_structure_with_mutation_structure,2,58,93708
mutation_structure_with_mutation_structure,2,59,92881
mutation_structure_with_mutation_structure,2,60,92881
mutation_structure_with_mutation_structure,2,61,92724
mutation_structure_with_mutation_structure,2,62,92540
mutation_structure_with_mutation_structure,2,63,92295
mutation_structure_with_mutation_structure,2,64,92139
mutation_structure_with_mutation_structure,2,65,92101
mutation_structure_with_mutation_structure,2,66,92101
mutation_structure_with_mutation_structure,2,67,91515
mutation_structure_with_mutation_structure,2,68,91515
mutation_structure_with_mutation_structure,2,69,91515
mutation_structure_with_mutation_structure,2,70,91431
mutation_structure_with_mutation_structure,2,71,91431
mutation_structure_with_mutation_structure,2,72,91431
mutation_structure_with_mutation_structure,2,73,91431
mutation_structure_with_mutation_structure,2,74,91431
mutation_structure_with_mutation_structure,2,75,91431
mutation_structure_with_mutation_structure,2,76,91431
mutation_structure_with_mutation_structure,2,77,91431
mutation_structure_with_mutation_structure,2,78,91431
mutation_structure_with_mutation_structure,2,79,91431
mutation_structure_with_mutation_structure,2,80,91269
mutation_structure_with_mutation_structure,2,81,91269
mutation_structure_with_mutation_structure,2,82,90948
mutation_structure_with_mutation_structure,2,83,90948
mutation_structure_with_mutation_structure,2,84,90948
mutation_structure_with_mutation_structure,2,85,90948
mutation_structure_with_mutation_structure,2,86,90673
mutation_structure_with_mutation_structure,2,87,90673
mutation_structure_with_mutation_structure,2,88,90673
mutation_structure_with_mutation_structure,2,89,90673
mutation_structure_with_mutation_structure,2,90,90673
mutation_structure_with_mutation_structure,2,91,90673
mutation_structure_with_mutation_structure,2,92,90673
mutation_structure_with_mutation_structure,2,93,90673
mutation_structure_with_mutation_structure,2,94,90673
mutation_structure_with_mutation_structure,2,95,90673
mutation_structure_with_mutation_structure,2,96,90673
mutation_structure_with_mutation_structure,2,97,90673
mutation_structure_with_mutation_structure,2,98,90673
mutation_structure_with_mutation_structure,2,99,90673
mutation_structure_with_mutation_structure,2,100,90673
mutation_structure_with_mutation_structure,3,1,121193
mutation_structure_with_mutation_structure,3,2,121193
mutation_structure_with_mutation_structure,3,3,121193
mutation_structure_with_mutation_structure,3,4,119158
mutation_structure_with_mutation_structure,3,5,119158
mutation_structure_with_mutation_structure,3,6,119158
mutation_structure_with_mutation_structure,3,7,119158
mutation_structure_with_mutation_structure,3,8,118430
mutation_structure_with_mutation_structure,3,9,118430
mutation_structure_with_mutation_structure,3,10,117962
mutation_structure_with_mutation_structure,3,11,117878
mutation_structure_with_mutation_structure,3,12,116563
mutation_structure_with_mutation_structure,3,13,116563
mutation_structure_with_mutation_structure,3,14,114904
mutation_structure_with_mutation_structure,3,15,114103
mutation_structure_with_mutation_structure,3,16,110463
mutation_structure_with_mutation_structure,3,17,109966
mutation_structure_with_mutation_structure,3,18,109674
mutation_structure_with_mutation_structure,3,19,108532
mutation_structure_with_mutation_structure,3,20,106957
mutation_structure_with_mutation_structure,3,21,106469
mutation_structure_with_mutation_structure,3,22,106366
mutation_structure_with_mutation_structure,3,23,103927
mutation_structure_with_mutation_structure,3,24,103927
mutation_structure_with_mutation_structure,3,25,103927
mutation_structure_with_mutation_structure,3,26,103409
mutation_structure_with_mutation_structure,3,27,102890
mutation_structure_with_mutation_structure,3,28,102760
mutation_structure_with_mutation_structure,3,29,102645
mutation_structure_with_mutation_structure,3,30,101576
mutation_structure_with_mutation_structure,3,31,101041
mutation_structure_with_mutation_structure,3,32,100270
mutation_structure_with_mutation_structure,3,33,99933
mutation_structure_with_mutation_structure,3,34,99567
mutation_structure_with_mutation_structure,3,35,99203
mutation_structure_with_mutation_structure,3,36,98275
mutation_structure_with_mutation_structure,3,37,97904
mutation_structure_with_mutation_structure,3,38,97523
mutation_structure_with_mutation_structure,3,39,97523
mutation_structure_with_mutation_structure,3,40,97347
mutation_structure_with_mutation_structure,3,41,96918
mutation_structure_with_mutation_structure,3,42,96847
mutation_structure_with_mutation_structure,3,43,96802
mutation_structure_with_mutation_structure,3,44,96542
mutation_structure_with_mutation_structure,3,45,96334
mutation_structure_with_mutation_structure,3,46,96169
mutation_structure_with_mutation_structure,3,47,95712
mutation_structure_with_mutation_structure,3,48,95712
mutation_structure_with_mutation_structure,3,49,95519
mutation_structure_with_mutation_structure,3,50,95433
mutation_structure_with_mutation_structure,3,51,95433
mutation_structure_with_mutation_structure,3,52,95253
mutation_structure_with_mutation_structure,3,53,95253
mutation_structure_with_mutation_structure,3,54,95253
mutation_structure_with_mutation_structure,3,55,95227
mutation_structure_with_mutation_structure,3,56,94848
mutation_structure_with_mutation_structure,3,57,94510
mutation_structure_with_mutation_structure,3,58,94290
mutation_structure_with_mutation_structure,3,59,94290
mutation_structure_with_mutation_structure,3,60,94176
mutation_structure_with_mutation_structure,3,61,94104
mutation_structure_with_mutation_structure,3,62,93404
mutation_structure_with_mutation_structure,3,63,93318
mutation_structure_with_mutation_structure,3,64,93121
mutation_structure_with_mutation_structure,3,65,92778
mutation_structure_with_mutation_structure,3,66,92778
mutation_structure_with_mutation_structure,3,67,92574
mutation_structure_with_mutation_structure,3,68,92574
mutation_structure_with_mutation_structure,3,69,92574
mutation_structure_with_mutation_structure,3,70,92266
mutation_structure_with_mutation_structure,3,71,92266
mutation_structure_with_mutation_structure,3,72,92180
mutation_structure_with_mutation_structure,3,73,91817
mutation_structure_with_mutation_structure,3,74,91509
mutation_structure_with_mutation_structure,3,75,91509
mutation_structure_with_mutation_structure,3,76,90868
mutation_structure_with_mutation_structure,3,77,90112
mutation_structure_with_mutation_structure,3,78,90112
mutation_structure_with_mutation_structure,3,79,90112
mutation_structure_with_mutation_structure,3,80,90112
mutation_structure_with_mutation_structure,3,81,89939
mutation_structure_with_mutation_structure,3,82,89678
mutation_structure_with_mutation_structure,3,83,89678
mutation_structure_with_mutation_structure,3,84,89331
mutation_structure_with_mutation_structure,3,85,89331
mutation_structure_with_mutation_structure,3,86,89001
mutation_structure_with_mutation_structure,3,87,88719
mutation_structure_with_mutation_structure,3,88,88719
mutation_structure_with_mutation_structure,3,89,88644
mutation_structure_with_mutation_structure,3,90,88644
mutation_structure_with_mutation_structure,3,91,88362
mutation_structure_with_mutation_structure,3,92,88362
mutation_structure_with_mutation_structure,3,93,88302
mutation_structure_with_mutation_structure,3,94,88302
mutation_structure_with_mutation_structure,3,95,88302
mutation_structure_with_mutation_structure,3,96,88302
mutation_structure_with_mutation_structure,3,97,88302
mutation_structure_with_mutation_structure,3,98,88126
mutation_structure_with_mutation_structure,3,99,88126
mutation_structure_with_mutation_structure,3,100,88016
mutation_structure_with_mutation_structure,4,1,119767
mutation_structure_with_mutation_structure,4,2,119767
mutation_structure_with_mutation_structure,4,3,119767
mutation_structure_with_mutation_structure,4,4,119767
mutation_structure_with_mutation_structure,4,5,118535
mutation_structure_with_mutation_structure,4,6,118535
mutation_structure_with_mutation_structure,4,7,118535
mutation_structure_with_mutation_structure,4,8,118279
mutation_structure_with_mutation_structure,4,9,117763
mutation_structure_with_mutation_structure,4,10,116327
mutation_structure_with_mutation_structure,4,11,116327
mutation_structure_with_mutation_structure,4,12,116005
mutation_structure_with_mutation_structure,4,13,115921
mutation_structure_with_mutation_structure,4,14,114163
mutation_structure_with_mutation_structure,4,15,113841
mutation_structure_with_mutation_structure,4,16,113841
mutation_structure_with_mutation_structure,4,17,112380
mutation_structure_with_mutation_structure,4,18,111264
mutation_structure_with_mutation_structure,4,19,111264
mutation_structure_with_mutation_structure,4,20,110816
mutation_structure_with_mutation_structure,4,21,110816
mutation_structure_with_mutation_structure,4,22,110398
mutation_structure_with_mutation_structure,4,23,110192
mutation_structure_with_mutation_structure,4,24,110190
mutation_structure_with_mutation_structure,4,25,109512
mutation_structure_with_mutation_structure,4,26,108576
mutation_structure_with_mutation_structure,4,27,108576
mutation_structure_with_mutation_structure,4,28,108576
mutation_structure_with_mutation_structure,4,29,108576
mutation_structure_with_mutation_structure,4,30,108576
mutation_structure_with_mutation_structure,4,31,108485
mutation_structure_with_mutation_structure,4,32,108485
mutation_structure_with_mutation_structure,4,33,108485
mutation_structure_with_mutation_structure,4,34,108477
mutation_structure_with_mutation_structure,4,35,107911
mutation_structure_with_mutation_structure,4,36,107911
mutation_structure_with_mutation_structure,4,37,106962
mutation_structure_with_mutation_structure,4,38,106962
mutation_structure_with_mutation_structure,4,39,106962
mutation_structure_with_mutation_structure,4,40,106962
mutation_structure_with_mutation_structure,4,41,106962
mutation_structure_with_mutation_structure,4,42,106962
mutation_structure_with_mutation_structure,4,43,106962
mutation_structure_with_mutation_structure,4,44,106962
mutation_structure_with_mutation_structure,4,45,106962
mutation_structure_with_mutation_structure,4,46,106962
mutation_structure_with_mutation_structure,4,47,106962
mutation_structure_with_mutation_structure,4,48,106962
mutation_structure_with_mutation_structure,4,49,106896
mutation_structure_with_mutation_structure,4,50,106896
mutation_structure_with_mutation_structure,4,51,106896
mutation_structure_with_mutation_structure,4,52,106896
mutation_structure_with_mutation_structure,4,53,106882
mutation_structure_with_mutation_structure,4,54,106882
mutation_structure_with_mutation_structure,4,55,106882
mutation_structure_with_mutation_structure,4,56,106882
mutation_structure_with_mutation_structure,4,57,106289
mutation_structure_with_mutation_structure,4,58,106289
mutation_structure_with_mutation_structure,4,59,106011
mutation_structure_with_mutation_structure,4,60,105247
mutation_structure_with_mutation_structure,4,61,105247
mutation_structure_with_mutation_structure,4,62,104772
mutation_structure_with_mutation_structure,4,63,104602
mutation_structure_with_mutation_structure,4,64,104602
mutation_structure_with_mutation_structure,4,65,104388
mutation_structure_with_mutation_structure,4,66,103910
mutation_structure_with_mutation_structure,4,67,103910
mutation_structure_with_mutation_structure,4,68,103453
mutation_structure_with_mutation_structure,4,69,103453
mutation_structure_with_mutation_structure,4,70,103453
mutation_structure_with_mutation_structure,4,71,103096
mutation_structure_with_mutation_structure,4,72,102443
