version,run,generation,value
selection_tournament_selection,1,1,121915
selection_tournament_selection,1,2,121816
selection_tournament_selection,1,3,121816
selection_tournament_selection,1,4,121816
selection_tournament_selection,1,5,121816
selection_tournament_selection,1,6,121725
selection_tournament_selection,1,7,121640
selection_tournament_selection,1,8,118680
selection_tournament_selection,1,9,118680
selection_tournament_selection,1,10,116798
selection_tournament_selection,1,11,116569
selection_tournament_selection,1,12,116569
selection_tournament_selection,1,13,114246
selection_tournament_selection,1,14,114246
selection_tournament_selection,1,15,113221
selection_tournament_selection,1,16,112923
selection_tournament_selection,1,17,108880
selection_tournament_selection,1,18,108265
selection_tournament_selection,1,19,106594
selection_tournament_selection,1,20,106559
selection_tournament_selection,1,21,106381
selection_tournament_selection,1,22,104994
selection_tournament_selection,1,23,104706
selection_tournament_selection,1,24,104430
selection_tournament_selection,1,25,103381
selection_tournament_selection,1,26,102363
selection_tournament_selection,1,27,101822
selection_tournament_selection,1,28,101605
selection_tournament_selection,1,29,100852
selection_tournament_selection,1,30,100299
selection_tournament_selection,1,31,99123
selection_tournament_selection,1,32,98322
selection_tournament_selection,1,33,98299
selection_tournament_selection,1,34,98234
selection_tournament_selection,1,35,97757
selection_tournament_selection,1,36,97422
selection_tournament_selection,1,37,97313
selection_tournament_selection,1,38,97206
selection_tournament_selection,1,39,97206
selection_tournament_selection,1,40,97021
selection_tournament_selection,1,41,96910
selection_tournament_selection,1,42,96639
selection_tournament_selection,1,43,95868
selection_tournament_selection,1,44,95868
selection_tournament_selection,1,45,95868
selection_tournament_selection,1,46,95868
selection_tournament_selection,1,47,95432
selection_tournament_selection,1,48,95360
selection_tournament_selection,1,49,94757
selection_tournament_selection,1,50,93314
selection_tournament_selection,1,51,93314
selection_tournament_selection,1,52,93314
selection_tournament_selection,1,53,93103
selection_tournament_selection,1,54,92985
selection_tournament_selection,1,55,91877
selection_tournament_selection,1,56,91877
selection_tournament_selection,1,57,91779
selection_tournament_selection,1,58,91779
selection_tournament_selection,1,59,91264
selection_tournament_selection,1,60,91264
selection_tournament_selection,1,61,91019
selection_tournament_selection,1,62,91019
selection_tournament_selection,1,63,90349
selection_tournament_selection,1,64,90349
selection_tournament_selection,1,65,90189
selection_tournament_selection,1,66,90189
selection_tournament_selection,1,67,90189
selection_tournament_selection,1,68,90134
selection_tournament_selection,1,69,90134
selection_tournament_selection,1,70,89912
selection_tournament_selection,1,71,89912
selection_tournament_selection,1,72,89857
selection_tournament_selection,1,73,89857
selection_tournament_selection,1,74,89831
selection_tournament_selection,1,75,89831
selection_tournament_selection,1,76,89605
selection_tournament_selection,1,77,89605
selection_tournament_selection,1,78,89113
selection_tournament_selection,1,79,89113
selection_tournament_selection,1,80,89113
selection_tournament_selection,1,81,88913
selection_tournament_selection,1,82,88823
selection_tournament_selection,1,83,88665
selection_tournament_selection,1,84,88420
selection_tournament_selection,1,85,88420
selection_tournament_selection,1,86,88097
selection_tournament_selection,1,87,88006
selection_tournament_selection,1,88,88006
selection_tournament_selection,1,89,87974
selection_tournament_selection,1,90,87974
selection_tournament_selection,1,91,87974
selection_tournament_selection,1,92,87974
selection_tournament_selection,1,93,87945
selection_tournament_selection,1,94,87945
selection_tournament_selection,1,95,87945
selection_tournament_selection,1,96,87945
selection_tournament_selection,1,97,87945
selection_tournament_selection,1,98,87945
selection_tournament_selection,1,99,87945
selection_tournament_selection,1,100,87945
selection_tournament_selection,2,1,120758
selection_tournament_selection,2,2,120758
selection_tournament_selection,2,3,120758
selection_tournament_selection,2,4,120758
selection_tournament_selection,2,5,120758
selection_tournament_selection,2,6,120758
selection_tournament_selection,2,7,120758
selection_tournament_selection,2,8,120592
selection_tournament_selection,2,9,120592
selection_tournament_selection,2,10,120592
selection_tournament_selection,2,11,119547
selection_tournament_selection,2,12,118224
selection_tournament_selection,2,13,118224
selection_tournament_selection,2,14,115996
selection_tournament_selection,2,15,114783
selection_tournament_selection,2,16,114783
selection_tournament_selection,2,17,114651
selection_tournament_selection,2,18,113505
selection_tournament_selection,2,19,113337
selection_tournament_selection,2,20,112445
selection_tournament_selection,2,21,111795
selection_tournament_selection,2,22,111372
selection_tournament_selection,2,23,111195
selection_tournament_selection,2,24,110881
selection_tournament_selection,2,25,110190
selection_tournament_selection,2,26,110095
selection_tournament_selection,2,27,109356
selection_tournament_selection,2,28,109153
selection_tournament_selection,2,29,108577
selection_tournament_selection,2,30,107406
selection_tournament_selection,2,31,107138
selection_tournament_selection,2,32,107138
selection_tournament_selection,2,33,106315
selection_tournament_selection,2,34,106026
selection_tournament_selection,2,35,105023
selection_tournament_selection,2,36,103560
selection_tournament_selection,2,37,103560
selection_tournament_selection,2,38,103560
selection_tournament_selection,2,39,102875
selection_tournament_selection,2,40,101889
selection_tournament_selection,2,41,101761
selection_tournament_selection,2,42,101708
selection_tournament_selection,2,43,100890
selection_tournament_selection,2,44,100890
selection_tournament_selection,2,45,99235
selection_tournament_selection,2,46,99235
selection_tournament_selection,2,47,99235
selection_tournament_selection,2,48,99008
selection_tournament_selection,2,49,99008
selection_tournament_selection,2,50,99008
selection_tournament_selection,2,51,98484
selection_tournament_selection,2,52,98484
selection_tournament_selection,2,53,98484
selection_tournament_selection,2,54,98450
selection_tournament_selection,2,55,97971
selection_tournament_selection,2,56,97971
selection_tournament_selection,2,57,97938
selection_tournament_selection,2,58,97322
selection_tournament_selection,2,59,97160
selection_tournament_selection,2,60,97160
selection_tournament_selection,2,61,96574
selection_tournament_selection,2,62,96574
selection_tournament_selection,2,63,96494
selection_tournament_selection,2,64,96159
selection_tournament_selection,2,65,96078
selection_tournament_selection,2,66,96022
selection_tournament_selection,2,67,95412
selection_tournament_selection,2,68,95412
selection_tournament_selection,2,69,95286
selection_tournament_selection,2,70,94756
selection_tournament_selection,2,71,94745
selection_tournament_selection,2,72,94401
selection_tournament_selection,2,73,94401
selection_tournament_selection,2,74,94390
selection_tournament_selection,2,75,94390
selection_tournament_selection,2,76,94386
selection_tournament_selection,2,77,94166
selection_tournament_selection,2,78,94166
selection_tournament_selection,2,79,93711
selection_tournament_selection,2,80,93711
selection_tournament_selection,2,81,93482
selection_tournament_selection,2,82,93482
selection_tournament_selection,2,83,93309
selection_tournament_selection,2,84,93309
selection_tournament_selection,2,85,93132
selection_tournament_selection,2,86,93040
selection_tournament_selection,2,87,92862
selection_tournament_selection,2,88,92862
selection_tournament_selection,2,89,92328
selection_tournament_selection,2,90,92328
selection_tournament_selection,2,91,91972
selection_tournament_selection,2,92,91968
selection_tournament_selection,2,93,91093
selection_tournament_selection,2,94,91093
selection_tournament_selection,2,95,91093
selection_tournament_selection,2,96,91093
selection_tournament_selection,2,97,91093
selection_tournament_selection,2,98,91093
selection_tournament_selection,2,99,90855
selection_tournament_selection,2,100,90801
selection_tournament_selection,3,1,121871
selection_tournament_selection,3,2,121756
selection_tournament_selection,3,3,121756
selection_tournament_selection,3,4,121756
selection_tournament_selection,3,5,121756
selection_tournament_selection,3,6,121756
selection_tournament_selection,3,7,120360
selection_tournament_selection,3,8,119352
selection_tournament_selection,3,9,117635
selection_tournament_selection,3,10,117145
selection_tournament_selection,3,11,116382
selection_tournament_selection,3,12,116382
selection_tournament_selection,3,13,115752
selection_tournament_selection,3,14,114980
selection_tournament_selection,3,15,113952
selection_tournament_selection,3,16,113203
selection_tournament_selection,3,17,112767
selection_tournament_selection,3,18,111461
selection_tournament_selection,3,19,111461
selection_tournament_selection,3,20,110620
selection_tournament_selection,3,21,110489
selection_tournament_selection,3,22,110106
selection_tournament_selection,3,23,109506
selection_tournament_selection,3,24,109159
selection_tournament_selection,3,25,108963
selection_tournament_selection,3,26,108180
selection_tournament_selection,3,27,108180
selection_tournament_selection,3,28,107478
selection_tournament_selection,3,29,106846
selection_tournament_selection,3,30,106081
selection_tournament_selection,3,31,106081
selection_tournament_selection,3,32,105367
selection_tournament_selection,3,33,104748
selection_tournament_selection,3,34,104748
selection_tournament_selection,3,35,104214
selection_tournament_selection,3,36,104214
selection_tournament_selection,3,37,104214
selection_tournament_selection,3,38,104214
selection_tournament_selection,3,39,103811
selection_tournament_selection,3,40,103811
selection_tournament_selection,3,41,103724
selection_tournament_selection,3,42,103724
selection_tournament_selection,3,43,103513
selection_tournament_selection,3,44,103426
selection_tournament_selection,3,45,103350
selection_tournament_selection,3,46,103263
selection_tournament_selection,3,47,103263
selection_tournament_selection,3,48,103263
selection_tournament_selection,3,49,103263
selection_tournament_selection,3,50,103263
selection_tournament_selection,3,51,103263
selection_tournament_selection,3,52,103162
selection_tournament_selection,3,53,103162
selection_tournament_selection,3,54,103162
selection_tournament_selection,3,55,103162
selection_tournament_selection,3,56,102940
selection_tournament_selection,3,57,102940
selection_tournament_selection,3,58,102940
selection_tournament_selection,3,59,102464
selection_tournament_selection,3,60,102464
selection_tournament_selection,3,61,102049
selection_tournament_selection,3,62,102049
selection_tournament_selection,3,63,102049
selection_tournament_selection,3,64,102049
selection_tournament_selection,3,65,102049
selection_tournament_selection,3,66,102049
selection_tournament_selection,3,67,102049
selection_tournament_selection,3,68,102049
selection_tournament_selection,3,69,101927
selection_tournament_selection,3,70,101927
selection_tournament_selection,3,71,101927
selection_tournament_selection,3,72,101927
selection_tournament_selection,3,73,101927
selection_tournament_selection,3,74,101927
selection_tournament_selection,3,75,101927
selection_tournament_selection,3,76,101659
selection_tournament_selection,3,77,101156
selection_tournament_selection,3,78,101156
selection_tournament_selection,3,79,101156
selection_tournament_selection,3,80,100888
selection_tournament_selection,3,81,100887
selection_tournament_selection,3,82,99988
selection_tournament_selection,3,83,99988
selection_tournament_selection,3,84,99986
selection_tournament_selection,3,85,99828
selection_tournament_selection,3,86,99826
selection_tournament_selection,3,87,99734
selection_tournament_selection,3,88,99732
selection_tournament_selection,3,89,99732
selection_tournament_selection,3,90,99732
selection_tournament_selection,3,91,99732
selection_tournament_selection,3,92,99732
selection_tournament_selection,3,93,99732
selection_tournament_selection,3,94,99285
selection_tournament_selection,3,95,99285
selection_tournament_selection,3,96,99285
selection_tournament_selection,3,97,99285
selection_tournament_selection,3,98,99285
selection_tournament_selection,3,99,99285
selection_tournament_selection,3,100,99285
selection_tournament_selection,4,1,121571
selection_tournament_selection,4,2,121571
selection_tournament_selection,4,3,121571
selection_tournament_selection,4,4,120197
selection_tournament_selection,4,5,120197
selection_tournament_selection,4,6,120197
selection_tournament_selection,4,7,120197
selection_tournament_selection,4,8,120197
selection_tournament_selection,4,9,120197
selection_tournament_selection,4,10,120197
selection_tournament_selection,4,11,119071
selection_tournament_selection,4,12,118123
selection_tournament_selection,4,13,118123
selection_tournament_selection,4,14,117754
selection_tournament_selection,4,15,116122
selection_tournament_selection,4,16,116122
selection_tournament_selection,4,17,113752
selection_tournament_selection,4,18,113333
selection_tournament_selection,4,19,112881
selection_tournament_selection,4,20,112881
selection_tournament_selection,4,21,112458
selection_tournament_selection,4,22,111788
selection_tournament_selection,4,23,111504
selection_tournament_selection,4,24,110770
selection_tournament_selection,4,25,110334
selection_tournament_selection,4,26,109822
selection_tournament_selection,4,27,109409
selection_tournament_selection,4,28,108306
selection_tournament_selection,4,29,108176
selection_tournament_selection,4,30,107351
selection_tournament_selection,4,31,107351
selection_tournament_selection,4,32,107176
selection_tournament_selection,4,33,107122
selection_tournament_selection,4,34,106746
selection_tournament_selection,4,35,106165
selection_tournament_selection,4,36,106041
selection_tournament_selection,4,37,105700
selection_tournament_selection,4,38,105395
selection_tournament_selection,4,39,104407
selection_tournament_selection,4,40,104407
selection_tournament_selection,4,41,103886
selection_tournament_selection,4,42,103886
selection_tournament_selection,4,43,103699
selection_tournament_selection,4,44,103357
selection_tournament_selection,4,45,103130
selection_tournament_selection,4,46,102970
selection_tournament_selection,4,47,102686
selection_tournament_selection,4,48,102046
selection_tournament_selection,4,49,101443
selection_tournament_selection,4,50,100597
selection_tournament_selection,4,51,100597
selection_tournament_selection,4,52,99808
selection_tournament_selection,4,53,99097
selection_tournament_selection,4,54,98931
selection_tournament_selection,4,55,98595
selection_tournament_selection,4,56,97566
selection_tournament_selection,4,57,97566
selection_tournament_selection,4,58,97498
selection_tournament_selection,4,59,97119
selection_tournament_selection,4,60,97119
selection_tournament_selection,4,61,96620
selection_tournament_selection,4,62,96620
selection_tournament_selection,4,63,96620
selection_tournament_selection,4,64,96620
selection_tournament_selection,4,65,96517
selection_tournament_selection,4,66,96094
selection_tournament_selection,4,67,96094
selection_tournament_selection,4,68,96094
selection_tournament_selection,4,69,96094
selection_tournament_selection,4,70,96094
selection_tournament_selection,4,71,96094
selection_tournament_selection,4,72,96094
selection_tournament_selection,4,73,96094
selection_tournament_selection,4,74,96094
selection_tournament_selection,4,75,96094
selection_tournament_selection,4,76,96094
selection_tournament_selection,4,77,96094
selection_tournament_selection,4,78,96094
selection_tournament_selection,4,79,96094
selection_tournament_selection,4,80,96094
selection_tournament_selection,4,81,96094
selection_tournament_selection,4,82,96094
selection_tournament_selection,4,83,96094
selection_tournament_selection,4,84,96094
selection_tournament_selection,4,85,95465
selection_tournament_selection,4,86,95465
selection_tournament_selection,4,87,95465
selection_tournament_selection,4,88,95465
selection_tournament_selection,4,89,95465
selection_tournament_selection,4,90,95274
selection_tournament_selection,4,91,95274
selection_tournament_selection,4,92,95274
selection_tournament_selection,4,93,95274
selection_tournament_selection,4,94,95274
selection_tournament_selection,4,95,95274
selection_tournament_selection,4,96,95274
selection_tournament_selection,4,97,95274
selection_tournament_selection,4,98,95274
selection_tournament_selection,4,99,95274
selection_tournament_selection,4,100,95274
selection_tournament_selection,5,1,122082
selection_tournament_selection,5,2,122082
selection_tournament_selection,5,3,122082
selection_tournament_selection,5,4,121584
selection_tournament_selection,5,5,121197
selection_tournament_selection,5,6,118778
selection_tournament_selection,5,7,118778
selection_tournament_selection,5,8,116165
selection_tournament_selection,5,9,116165
selection_tournament_selection,5,10,116165
selection_tournament_selection,5,11,116165
selection_tournament_selection,5,12,115775
selection_tournament_selection,5,13,114152
selection_tournament_selection,5,14,113066
selection_tournament_selection,5,15,113066
selection_tournament_selection,5,16,112760
selection_tournament_selection,5,17,111866
selection_tournament_selection,5,18,111695
selection_tournament_selection,5,19,111210
selection_tournament_selection,5,20,110340
selection_tournament_selection,5,21,109532
selection_tournament_selection,5,22,109260
selection_tournament_selection,5,23,108804
selection_tournament_selection,5,24,108024
selection_tournament_selection,5,25,107115
selection_tournament_selection,5,26,104699
selection_tournament_selection,5,27,104699
selection_tournament_selection,5,28,104291
selection_tournament_selection,5,29,103846
selection_tournament_selection,5,30,103824
