version,run,generation,value
GA_tour_invmut_pmx_0.95xo_0.4mut,1,1,8716
GA_tour_invmut_pmx_0.95xo_0.4mut,1,2,8716
GA_tour_invmut_pmx_0.95xo_0.4mut,1,3,8216
GA_tour_invmut_pmx_0.95xo_0.4mut,1,4,7396
GA_tour_invmut_pmx_0.95xo_0.4mut,1,5,7352
GA_tour_invmut_pmx_0.95xo_0.4mut,1,6,6940
GA_tour_invmut_pmx_0.95xo_0.4mut,1,7,6140
GA_tour_invmut_pmx_0.95xo_0.4mut,1,8,6140
GA_tour_invmut_pmx_0.95xo_0.4mut,1,9,6140
GA_tour_invmut_pmx_0.95xo_0.4mut,1,10,6140
GA_tour_invmut_pmx_0.95xo_0.4mut,1,11,5776
GA_tour_invmut_pmx_0.95xo_0.4mut,1,12,5548
GA_tour_invmut_pmx_0.95xo_0.4mut,1,13,5548
GA_tour_invmut_pmx_0.95xo_0.4mut,1,14,5548
GA_tour_invmut_pmx_0.95xo_0.4mut,1,15,5432
GA_tour_invmut_pmx_0.95xo_0.4mut,1,16,5432
GA_tour_invmut_pmx_0.95xo_0.4mut,1,17,5228
GA_tour_invmut_pmx_0.95xo_0.4mut,1,18,5228
GA_tour_invmut_pmx_0.95xo_0.4mut,1,19,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,20,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,21,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,22,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,23,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,24,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,25,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,26,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,27,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,28,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,29,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,30,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,31,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,32,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,33,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,34,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,35,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,36,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,37,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,38,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,39,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,40,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,41,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,42,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,43,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,44,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,45,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,46,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,47,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,48,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,49,5000
GA_tour_invmut_pmx_0.95xo_0.4mut,1,50,5000
