version,run,generation,value
crossover_cycle_xo,1,1,116554
crossover_cycle_xo,1,2,115773
crossover_cycle_xo,1,3,115403
crossover_cycle_xo,1,4,113475
crossover_cycle_xo,1,5,112000
crossover_cycle_xo,1,6,112000
crossover_cycle_xo,1,7,111428
crossover_cycle_xo,1,8,109551
crossover_cycle_xo,1,9,109551
crossover_cycle_xo,1,10,109367
crossover_cycle_xo,1,11,108029
crossover_cycle_xo,1,12,107603
crossover_cycle_xo,1,13,106422
crossover_cycle_xo,1,14,104609
crossover_cycle_xo,1,15,104112
crossover_cycle_xo,1,16,102665
crossover_cycle_xo,1,17,102051
crossover_cycle_xo,1,18,101850
crossover_cycle_xo,1,19,100919
crossover_cycle_xo,1,20,99672
crossover_cycle_xo,1,21,99047
crossover_cycle_xo,1,22,98022
crossover_cycle_xo,1,23,97803
crossover_cycle_xo,1,24,97389
crossover_cycle_xo,1,25,95663
crossover_cycle_xo,1,26,95663
crossover_cycle_xo,1,27,95189
crossover_cycle_xo,1,28,95044
crossover_cycle_xo,1,29,94625
crossover_cycle_xo,1,30,93835
crossover_cycle_xo,1,31,93678
crossover_cycle_xo,1,32,93257
crossover_cycle_xo,1,33,91885
crossover_cycle_xo,1,34,91706
crossover_cycle_xo,1,35,91467
crossover_cycle_xo,1,36,89785
crossover_cycle_xo,1,37,89544
crossover_cycle_xo,1,38,88653
crossover_cycle_xo,1,39,88653
crossover_cycle_xo,1,40,88497
crossover_cycle_xo,1,41,88497
crossover_cycle_xo,1,42,88497
crossover_cycle_xo,1,43,88216
crossover_cycle_xo,1,44,88076
crossover_cycle_xo,1,45,87616
crossover_cycle_xo,1,46,87490
crossover_cycle_xo,1,47,87268
crossover_cycle_xo,1,48,87109
crossover_cycle_xo,1,49,86814
crossover_cycle_xo,1,50,86779
crossover_cycle_xo,1,51,86503
crossover_cycle_xo,1,52,86459
crossover_cycle_xo,1,53,86344
crossover_cycle_xo,1,54,86281
crossover_cycle_xo,1,55,86130
crossover_cycle_xo,1,56,86111
crossover_cycle_xo,1,57,85753
crossover_cycle_xo,1,58,85753
crossover_cycle_xo,1,59,85672
crossover_cycle_xo,1,60,85034
crossover_cycle_xo,1,61,84632
crossover_cycle_xo,1,62,84575
crossover_cycle_xo,1,63,84256
crossover_cycle_xo,1,64,84256
crossover_cycle_xo,1,65,83814
crossover_cycle_xo,1,66,83238
