version,run,generation,value
crossover_prob__0_95,1,1,116753
crossover_prob__0_95,1,2,115782
crossover_prob__0_95,1,3,115167
crossover_prob__0_95,1,4,114840
crossover_prob__0_95,1,5,111290
crossover_prob__0_95,1,6,111290
crossover_prob__0_95,1,7,110015
crossover_prob__0_95,1,8,108069
crossover_prob__0_95,1,9,108069
crossover_prob__0_95,1,10,106886
crossover_prob__0_95,1,11,106671
crossover_prob__0_95,1,12,106538
crossover_prob__0_95,1,13,105054
crossover_prob__0_95,1,14,104876
crossover_prob__0_95,1,15,102705
crossover_prob__0_95,1,16,101496
crossover_prob__0_95,1,17,101307
crossover_prob__0_95,1,18,101307
crossover_prob__0_95,1,19,100288
crossover_prob__0_95,1,20,100288
crossover_prob__0_95,1,21,100215
crossover_prob__0_95,1,22,99048
crossover_prob__0_95,1,23,98252
crossover_prob__0_95,1,24,98252
crossover_prob__0_95,1,25,98252
crossover_prob__0_95,1,26,98209
crossover_prob__0_95,1,27,98209
crossover_prob__0_95,1,28,97663
crossover_prob__0_95,1,29,96680
crossover_prob__0_95,1,30,96680
crossover_prob__0_95,1,31,96680
crossover_prob__0_95,1,32,95518
crossover_prob__0_95,1,33,95518
crossover_prob__0_95,1,34,95518
crossover_prob__0_95,1,35,95291
crossover_prob__0_95,1,36,94482
crossover_prob__0_95,1,37,94482
crossover_prob__0_95,1,38,94154
crossover_prob__0_95,1,39,94154
crossover_prob__0_95,1,40,92807
crossover_prob__0_95,1,41,92753
crossover_prob__0_95,1,42,91958
crossover_prob__0_95,1,43,91958
crossover_prob__0_95,1,44,91612
crossover_prob__0_95,1,45,91082
crossover_prob__0_95,1,46,91082
crossover_prob__0_95,1,47,90665
crossover_prob__0_95,1,48,90539
crossover_prob__0_95,1,49,89839
crossover_prob__0_95,1,50,89839
crossover_prob__0_95,1,51,89343
crossover_prob__0_95,1,52,89040
crossover_prob__0_95,1,53,88964
crossover_prob__0_95,1,54,88691
crossover_prob__0_95,1,55,88353
crossover_prob__0_95,1,56,88210
crossover_prob__0_95,1,57,88048
crossover_prob__0_95,1,58,87832
crossover_prob__0_95,1,59,87580
crossover_prob__0_95,1,60,87507
crossover_prob__0_95,1,61,87227
crossover_prob__0_95,1,62,86762
crossover_prob__0_95,1,63,86726
crossover_prob__0_95,1,64,86238
crossover_prob__0_95,1,65,85958
crossover_prob__0_95,1,66,85958
crossover_prob__0_95,1,67,85439
crossover_prob__0_95,1,68,85375
crossover_prob__0_95,1,69,85124
crossover_prob__0_95,1,70,84831
crossover_prob__0_95,1,71,84592
crossover_prob__0_95,1,72,84520
crossover_prob__0_95,1,73,84493
crossover_prob__0_95,1,74,84493
crossover_prob__0_95,1,75,84421
crossover_prob__0_95,1,76,84410
crossover_prob__0_95,1,77,84359
crossover_prob__0_95,1,78,84098
crossover_prob__0_95,1,79,84098
crossover_prob__0_95,1,80,84093
crossover_prob__0_95,1,81,83519
crossover_prob__0_95,1,82,83457
crossover_prob__0_95,1,83,83340
crossover_prob__0_95,1,84,83212
crossover_prob__0_95,1,85,82934
crossover_prob__0_95,1,86,82501
crossover_prob__0_95,1,87,82049
crossover_prob__0_95,1,88,82041
crossover_prob__0_95,1,89,82041
crossover_prob__0_95,1,90,82013
crossover_prob__0_95,1,91,81951
crossover_prob__0_95,1,92,81821
crossover_prob__0_95,1,93,81668
crossover_prob__0_95,1,94,81576
crossover_prob__0_95,1,95,81538
crossover_prob__0_95,1,96,81483
crossover_prob__0_95,1,97,81125
crossover_prob__0_95,1,98,80883
crossover_prob__0_95,1,99,80522
crossover_prob__0_95,1,100,80488
crossover_prob__0_95,2,1,119366
crossover_prob__0_95,2,2,116381
crossover_prob__0_95,2,3,114800
crossover_prob__0_95,2,4,114800
crossover_prob__0_95,2,5,114545
crossover_prob__0_95,2,6,113529
crossover_prob__0_95,2,7,112530
crossover_prob__0_95,2,8,112530
crossover_prob__0_95,2,9,110913
crossover_prob__0_95,2,10,110913
crossover_prob__0_95,2,11,110913
crossover_prob__0_95,2,12,108828
crossover_prob__0_95,2,13,108821
crossover_prob__0_95,2,14,108511
crossover_prob__0_95,2,15,107050
crossover_prob__0_95,2,16,106656
crossover_prob__0_95,2,17,106188
crossover_prob__0_95,2,18,105119
crossover_prob__0_95,2,19,105119
crossover_prob__0_95,2,20,105119
crossover_prob__0_95,2,21,104133
crossover_prob__0_95,2,22,104133
crossover_prob__0_95,2,23,104052
crossover_prob__0_95,2,24,102679
crossover_prob__0_95,2,25,101682
crossover_prob__0_95,2,26,101682
crossover_prob__0_95,2,27,101682
crossover_prob__0_95,2,28,101260
crossover_prob__0_95,2,29,100493
crossover_prob__0_95,2,30,99852
crossover_prob__0_95,2,31,99633
crossover_prob__0_95,2,32,99342
crossover_prob__0_95,2,33,96321
crossover_prob__0_95,2,34,96321
crossover_prob__0_95,2,35,95758
crossover_prob__0_95,2,36,95758
crossover_prob__0_95,2,37,95758
crossover_prob__0_95,2,38,95758
crossover_prob__0_95,2,39,95715
crossover_prob__0_95,2,40,94906
crossover_prob__0_95,2,41,94436
crossover_prob__0_95,2,42,94208
crossover_prob__0_95,2,43,93237
crossover_prob__0_95,2,44,93237
crossover_prob__0_95,2,45,92905
crossover_prob__0_95,2,46,92414
crossover_prob__0_95,2,47,92024
crossover_prob__0_95,2,48,91467
crossover_prob__0_95,2,49,90973
crossover_prob__0_95,2,50,90950
crossover_prob__0_95,2,51,90950
crossover_prob__0_95,2,52,90529
crossover_prob__0_95,2,53,90249
crossover_prob__0_95,2,54,90249
crossover_prob__0_95,2,55,89733
crossover_prob__0_95,2,56,89733
crossover_prob__0_95,2,57,89733
crossover_prob__0_95,2,58,89157
crossover_prob__0_95,2,59,89147
crossover_prob__0_95,2,60,89147
crossover_prob__0_95,2,61,88966
crossover_prob__0_95,2,62,88966
crossover_prob__0_95,2,63,88840
crossover_prob__0_95,2,64,88840
crossover_prob__0_95,2,65,88727
crossover_prob__0_95,2,66,88120
crossover_prob__0_95,2,67,88120
crossover_prob__0_95,2,68,88120
crossover_prob__0_95,2,69,87995
crossover_prob__0_95,2,70,87771
crossover_prob__0_95,2,71,87269
crossover_prob__0_95,2,72,87269
crossover_prob__0_95,2,73,87010
crossover_prob__0_95,2,74,86732
crossover_prob__0_95,2,75,86216
crossover_prob__0_95,2,76,86133
crossover_prob__0_95,2,77,85897
crossover_prob__0_95,2,78,85806
crossover_prob__0_95,2,79,85493
crossover_prob__0_95,2,80,85139
crossover_prob__0_95,2,81,85139
crossover_prob__0_95,2,82,84536
crossover_prob__0_95,2,83,84536
crossover_prob__0_95,2,84,83712
crossover_prob__0_95,2,85,83712
crossover_prob__0_95,2,86,83712
crossover_prob__0_95,2,87,83570
crossover_prob__0_95,2,88,83062
crossover_prob__0_95,2,89,82943
crossover_prob__0_95,2,90,82781
crossover_prob__0_95,2,91,82392
crossover_prob__0_95,2,92,82230
crossover_prob__0_95,2,93,82066
crossover_prob__0_95,2,94,82006
crossover_prob__0_95,2,95,81789
crossover_prob__0_95,2,96,81789
crossover_prob__0_95,2,97,81479
crossover_prob__0_95,2,98,80683
crossover_prob__0_95,2,99,80406
crossover_prob__0_95,2,100,80329
crossover_prob__0_95,3,1,116478
crossover_prob__0_95,3,2,115343
crossover_prob__0_95,3,3,115343
crossover_prob__0_95,3,4,114352
crossover_prob__0_95,3,5,112948
crossover_prob__0_95,3,6,111941
crossover_prob__0_95,3,7,111720
crossover_prob__0_95,3,8,108555
crossover_prob__0_95,3,9,108114
crossover_prob__0_95,3,10,108114
crossover_prob__0_95,3,11,105933
crossover_prob__0_95,3,12,105933
crossover_prob__0_95,3,13,105355
crossover_prob__0_95,3,14,104127
crossover_prob__0_95,3,15,103925
crossover_prob__0_95,3,16,102204
crossover_prob__0_95,3,17,101109
crossover_prob__0_95,3,18,101109
crossover_prob__0_95,3,19,100947
crossover_prob__0_95,3,20,100730
crossover_prob__0_95,3,21,100513
crossover_prob__0_95,3,22,99387
crossover_prob__0_95,3,23,98809
crossover_prob__0_95,3,24,98809
crossover_prob__0_95,3,25,98809
crossover_prob__0_95,3,26,98412
crossover_prob__0_95,3,27,98155
crossover_prob__0_95,3,28,97543
crossover_prob__0_95,3,29,97236
crossover_prob__0_95,3,30,96984
crossover_prob__0_95,3,31,96646
crossover_prob__0_95,3,32,96010
crossover_prob__0_95,3,33,95123
crossover_prob__0_95,3,34,95096
crossover_prob__0_95,3,35,94611
crossover_prob__0_95,3,36,94611
crossover_prob__0_95,3,37,94564
crossover_prob__0_95,3,38,94052
crossover_prob__0_95,3,39,93689
crossover_prob__0_95,3,40,93618
crossover_prob__0_95,3,41,93506
crossover_prob__0_95,3,42,93506
crossover_prob__0_95,3,43,93349
crossover_prob__0_95,3,44,93331
crossover_prob__0_95,3,45,92878
crossover_prob__0_95,3,46,92878
crossover_prob__0_95,3,47,92847
crossover_prob__0_95,3,48,92672
crossover_prob__0_95,3,49,92657
crossover_prob__0_95,3,50,92024
crossover_prob__0_95,3,51,91888
crossover_prob__0_95,3,52,91621
crossover_prob__0_95,3,53,91382
crossover_prob__0_95,3,54,91004
crossover_prob__0_95,3,55,90838
crossover_prob__0_95,3,56,90237
crossover_prob__0_95,3,57,90237
crossover_prob__0_95,3,58,89542
crossover_prob__0_95,3,59,88941
crossover_prob__0_95,3,60,88941
crossover_prob__0_95,3,61,88739
crossover_prob__0_95,3,62,88100
crossover_prob__0_95,3,63,88085
crossover_prob__0_95,3,64,87734
crossover_prob__0_95,3,65,87734
crossover_prob__0_95,3,66,87469
crossover_prob__0_95,3,67,87442
crossover_prob__0_95,3,68,87366
crossover_prob__0_95,3,69,86799
crossover_prob__0_95,3,70,86761
crossover_prob__0_95,3,71,86296
crossover_prob__0_95,3,72,85964
