version,run,generation,value
mutation_tournament_selection,1,1,118739
mutation_tournament_selection,1,2,117408
mutation_tournament_selection,1,3,115294
mutation_tournament_selection,1,4,110884
mutation_tournament_selection,1,5,110884
mutation_tournament_selection,1,6,110884
mutation_tournament_selection,1,7,110884
mutation_tournament_selection,1,8,110141
mutation_tournament_selection,1,9,109440
mutation_tournament_selection,1,10,106645
mutation_tournament_selection,1,11,106278
mutation_tournament_selection,1,12,106183
mutation_tournament_selection,1,13,106183
mutation_tournament_selection,1,14,105346
mutation_tournament_selection,1,15,104489
mutation_tournament_selection,1,16,104153
mutation_tournament_selection,1,17,103076
mutation_tournament_selection,1,18,102786
mutation_tournament_selection,1,19,101946
mutation_tournament_selection,1,20,101407
mutation_tournament_selection,1,21,101208
mutation_tournament_selection,1,22,100471
mutation_tournament_selection,1,23,100471
mutation_tournament_selection,1,24,100090
mutation_tournament_selection,1,25,99267
mutation_tournament_selection,1,26,98748
mutation_tournament_selection,1,27,98748
mutation_tournament_selection,1,28,98298
mutation_tournament_selection,1,29,98298
mutation_tournament_selection,1,30,98298
mutation_tournament_selection,1,31,98298
mutation_tournament_selection,1,32,98232
mutation_tournament_selection,1,33,98159
mutation_tournament_selection,1,34,97541
mutation_tournament_selection,1,35,97090
mutation_tournament_selection,1,36,96462
mutation_tournament_selection,1,37,96462
mutation_tournament_selection,1,38,96011
mutation_tournament_selection,1,39,95560
mutation_tournament_selection,1,40,95416
mutation_tournament_selection,1,41,94853
mutation_tournament_selection,1,42,94322
mutation_tournament_selection,1,43,94313
mutation_tournament_selection,1,44,93689
mutation_tournament_selection,1,45,93427
mutation_tournament_selection,1,46,93003
mutation_tournament_selection,1,47,92571
mutation_tournament_selection,1,48,92369
mutation_tournament_selection,1,49,92185
mutation_tournament_selection,1,50,91988
mutation_tournament_selection,1,51,91904
mutation_tournament_selection,1,52,91290
mutation_tournament_selection,1,53,91160
mutation_tournament_selection,1,54,90825
mutation_tournament_selection,1,55,90723
mutation_tournament_selection,1,56,90438
mutation_tournament_selection,1,57,90302
mutation_tournament_selection,1,58,89901
mutation_tournament_selection,1,59,89879
mutation_tournament_selection,1,60,89668
mutation_tournament_selection,1,61,89254
mutation_tournament_selection,1,62,89118
mutation_tournament_selection,1,63,88845
mutation_tournament_selection,1,64,88166
mutation_tournament_selection,1,65,88002
mutation_tournament_selection,1,66,87595
mutation_tournament_selection,1,67,87153
mutation_tournament_selection,1,68,87153
mutation_tournament_selection,1,69,86426
mutation_tournament_selection,1,70,85945
mutation_tournament_selection,1,71,85945
mutation_tournament_selection,1,72,85945
mutation_tournament_selection,1,73,85736
mutation_tournament_selection,1,74,85468
mutation_tournament_selection,1,75,84355
mutation_tournament_selection,1,76,84355
mutation_tournament_selection,1,77,84355
mutation_tournament_selection,1,78,84355
mutation_tournament_selection,1,79,84140
mutation_tournament_selection,1,80,83514
mutation_tournament_selection,1,81,83514
