version,run,generation,value
mutation_prob__0_95,1,1,116549
mutation_prob__0_95,1,2,115506
mutation_prob__0_95,1,3,111104
mutation_prob__0_95,1,4,111104
mutation_prob__0_95,1,5,108919
mutation_prob__0_95,1,6,108919
mutation_prob__0_95,1,7,108347
mutation_prob__0_95,1,8,108347
mutation_prob__0_95,1,9,108274
mutation_prob__0_95,1,10,106735
mutation_prob__0_95,1,11,106180
mutation_prob__0_95,1,12,105592
mutation_prob__0_95,1,13,104913
mutation_prob__0_95,1,14,104205
mutation_prob__0_95,1,15,103551
mutation_prob__0_95,1,16,102948
mutation_prob__0_95,1,17,102707
mutation_prob__0_95,1,18,102177
mutation_prob__0_95,1,19,101238
mutation_prob__0_95,1,20,101092
mutation_prob__0_95,1,21,99999
mutation_prob__0_95,1,22,99980
mutation_prob__0_95,1,23,99087
mutation_prob__0_95,1,24,99072
mutation_prob__0_95,1,25,98054
mutation_prob__0_95,1,26,97469
mutation_prob__0_95,1,27,97227
mutation_prob__0_95,1,28,96438
mutation_prob__0_95,1,29,96217
mutation_prob__0_95,1,30,95810
mutation_prob__0_95,1,31,95408
mutation_prob__0_95,1,32,94975
mutation_prob__0_95,1,33,94863
mutation_prob__0_95,1,34,94539
mutation_prob__0_95,1,35,94539
mutation_prob__0_95,1,36,94539
mutation_prob__0_95,1,37,94495
mutation_prob__0_95,1,38,93737
mutation_prob__0_95,1,39,93732
mutation_prob__0_95,1,40,93480
mutation_prob__0_95,1,41,92331
mutation_prob__0_95,1,42,92331
mutation_prob__0_95,1,43,91968
mutation_prob__0_95,1,44,91568
mutation_prob__0_95,1,45,91247
mutation_prob__0_95,1,46,90991
mutation_prob__0_95,1,47,90686
mutation_prob__0_95,1,48,90194
mutation_prob__0_95,1,49,90194
mutation_prob__0_95,1,50,89637
mutation_prob__0_95,1,51,89543
mutation_prob__0_95,1,52,88572
mutation_prob__0_95,1,53,88572
mutation_prob__0_95,1,54,88268
mutation_prob__0_95,1,55,87963
mutation_prob__0_95,1,56,87499
mutation_prob__0_95,1,57,87499
mutation_prob__0_95,1,58,86933
mutation_prob__0_95,1,59,86740
mutation_prob__0_95,1,60,86653
mutation_prob__0_95,1,61,86241
mutation_prob__0_95,1,62,85804
mutation_prob__0_95,1,63,85608
mutation_prob__0_95,1,64,85159
mutation_prob__0_95,1,65,85159
mutation_prob__0_95,1,66,85101
mutation_prob__0_95,1,67,84962
mutation_prob__0_95,1,68,84642
mutation_prob__0_95,1,69,84324
mutation_prob__0_95,1,70,84324
mutation_prob__0_95,1,71,84266
mutation_prob__0_95,1,72,84266
mutation_prob__0_95,1,73,84243
mutation_prob__0_95,1,74,84243
mutation_prob__0_95,1,75,83721
mutation_prob__0_95,1,76,83496
mutation_prob__0_95,1,77,83496
mutation_prob__0_95,1,78,83336
mutation_prob__0_95,1,79,83336
mutation_prob__0_95,1,80,83336
mutation_prob__0_95,1,81,83336
mutation_prob__0_95,1,82,82605
mutation_prob__0_95,1,83,82522
mutation_prob__0_95,1,84,82522
mutation_prob__0_95,1,85,81877
mutation_prob__0_95,1,86,81877
mutation_prob__0_95,1,87,81877
mutation_prob__0_95,1,88,81827
mutation_prob__0_95,1,89,81827
mutation_prob__0_95,1,90,81827
mutation_prob__0_95,1,91,81827
mutation_prob__0_95,1,92,81341
mutation_prob__0_95,1,93,81341
mutation_prob__0_95,1,94,81341
mutation_prob__0_95,1,95,81253
mutation_prob__0_95,1,96,81070
mutation_prob__0_95,1,97,81070
mutation_prob__0_95,1,98,81070
mutation_prob__0_95,1,99,80637
mutation_prob__0_95,1,100,80569
mutation_prob__0_95,2,1,116461
mutation_prob__0_95,2,2,115597
mutation_prob__0_95,2,3,113274
mutation_prob__0_95,2,4,112985
mutation_prob__0_95,2,5,111549
mutation_prob__0_95,2,6,111549
mutation_prob__0_95,2,7,109171
mutation_prob__0_95,2,8,109171
mutation_prob__0_95,2,9,108065
mutation_prob__0_95,2,10,108065
mutation_prob__0_95,2,11,106842
mutation_prob__0_95,2,12,104604
mutation_prob__0_95,2,13,102961
mutation_prob__0_95,2,14,101824
mutation_prob__0_95,2,15,101505
mutation_prob__0_95,2,16,100999
mutation_prob__0_95,2,17,100276
mutation_prob__0_95,2,18,99881
mutation_prob__0_95,2,19,99580
mutation_prob__0_95,2,20,98485
mutation_prob__0_95,2,21,97967
mutation_prob__0_95,2,22,97967
mutation_prob__0_95,2,23,97844
mutation_prob__0_95,2,24,97176
mutation_prob__0_95,2,25,96710
mutation_prob__0_95,2,26,96710
mutation_prob__0_95,2,27,96710
mutation_prob__0_95,2,28,96305
mutation_prob__0_95,2,29,96144
mutation_prob__0_95,2,30,96144
mutation_prob__0_95,2,31,95913
mutation_prob__0_95,2,32,95771
mutation_prob__0_95,2,33,95771
mutation_prob__0_95,2,34,95687
mutation_prob__0_95,2,35,94992
mutation_prob__0_95,2,36,94265
mutation_prob__0_95,2,37,94265
mutation_prob__0_95,2,38,94248
mutation_prob__0_95,2,39,93734
mutation_prob__0_95,2,40,93445
mutation_prob__0_95,2,41,93445
mutation_prob__0_95,2,42,93039
mutation_prob__0_95,2,43,93039
mutation_prob__0_95,2,44,92511
mutation_prob__0_95,2,45,92271
mutation_prob__0_95,2,46,92271
mutation_prob__0_95,2,47,92271
mutation_prob__0_95,2,48,91554
mutation_prob__0_95,2,49,91554
mutation_prob__0_95,2,50,91469
mutation_prob__0_95,2,51,91038
mutation_prob__0_95,2,52,90809
mutation_prob__0_95,2,53,90236
mutation_prob__0_95,2,54,90236
mutation_prob__0_95,2,55,90085
mutation_prob__0_95,2,56,89626
mutation_prob__0_95,2,57,87764
mutation_prob__0_95,2,58,87764
mutation_prob__0_95,2,59,87724
mutation_prob__0_95,2,60,87491
mutation_prob__0_95,2,61,87286
mutation_prob__0_95,2,62,87246
mutation_prob__0_95,2,63,86685
mutation_prob__0_95,2,64,86685
mutation_prob__0_95,2,65,86440
mutation_prob__0_95,2,66,86400
mutation_prob__0_95,2,67,86132
mutation_prob__0_95,2,68,86132
mutation_prob__0_95,2,69,85996
mutation_prob__0_95,2,70,85812
mutation_prob__0_95,2,71,85782
mutation_prob__0_95,2,72,85647
mutation_prob__0_95,2,73,84884
mutation_prob__0_95,2,74,84884
mutation_prob__0_95,2,75,84884
mutation_prob__0_95,2,76,84809
mutation_prob__0_95,2,77,84228
mutation_prob__0_95,2,78,84228
mutation_prob__0_95,2,79,84066
mutation_prob__0_95,2,80,84066
mutation_prob__0_95,2,81,83807
mutation_prob__0_95,2,82,83645
mutation_prob__0_95,2,83,83407
mutation_prob__0_95,2,84,82799
mutation_prob__0_95,2,85,82799
mutation_prob__0_95,2,86,82601
mutation_prob__0_95,2,87,82313
mutation_prob__0_95,2,88,81640
mutation_prob__0_95,2,89,81640
mutation_prob__0_95,2,90,81640
mutation_prob__0_95,2,91,81640
mutation_prob__0_95,2,92,81184
mutation_prob__0_95,2,93,81184
mutation_prob__0_95,2,94,80733
mutation_prob__0_95,2,95,80468
mutation_prob__0_95,2,96,80468
mutation_prob__0_95,2,97,80468
mutation_prob__0_95,2,98,80188
mutation_prob__0_95,2,99,80188
mutation_prob__0_95,2,100,79967
mutation_prob__0_95,3,1,115722
mutation_prob__0_95,3,2,115722
mutation_prob__0_95,3,3,115164
mutation_prob__0_95,3,4,114212
mutation_prob__0_95,3,5,110965
mutation_prob__0_95,3,6,110965
mutation_prob__0_95,3,7,109575
mutation_prob__0_95,3,8,108881
mutation_prob__0_95,3,9,107568
mutation_prob__0_95,3,10,107343
mutation_prob__0_95,3,11,106462
mutation_prob__0_95,3,12,106462
mutation_prob__0_95,3,13,105857
mutation_prob__0_95,3,14,105857
mutation_prob__0_95,3,15,105640
mutation_prob__0_95,3,16,104577
mutation_prob__0_95,3,17,103809
mutation_prob__0_95,3,18,103775
mutation_prob__0_95,3,19,102762
mutation_prob__0_95,3,20,102011
mutation_prob__0_95,3,21,101383
mutation_prob__0_95,3,22,101309
mutation_prob__0_95,3,23,100572
mutation_prob__0_95,3,24,100423
mutation_prob__0_95,3,25,99536
mutation_prob__0_95,3,26,98737
mutation_prob__0_95,3,27,98638
mutation_prob__0_95,3,28,97857
mutation_prob__0_95,3,29,97636
mutation_prob__0_95,3,30,97162
mutation_prob__0_95,3,31,95561
mutation_prob__0_95,3,32,95561
mutation_prob__0_95,3,33,94575
mutation_prob__0_95,3,34,94389
mutation_prob__0_95,3,35,94305
mutation_prob__0_95,3,36,93685
mutation_prob__0_95,3,37,93487
mutation_prob__0_95,3,38,93132
mutation_prob__0_95,3,39,92976
mutation_prob__0_95,3,40,92778
mutation_prob__0_95,3,41,92498
mutation_prob__0_95,3,42,91916
mutation_prob__0_95,3,43,91216
mutation_prob__0_95,3,44,91130
mutation_prob__0_95,3,45,91012
mutation_prob__0_95,3,46,90850
mutation_prob__0_95,3,47,90422
mutation_prob__0_95,3,48,90122
mutation_prob__0_95,3,49,90042
mutation_prob__0_95,3,50,89735
mutation_prob__0_95,3,51,89735
mutation_prob__0_95,3,52,89526
mutation_prob__0_95,3,53,89520
mutation_prob__0_95,3,54,89320
mutation_prob__0_95,3,55,88839
mutation_prob__0_95,3,56,88786
mutation_prob__0_95,3,57,88501
mutation_prob__0_95,3,58,87811
mutation_prob__0_95,3,59,87811
mutation_prob__0_95,3,60,86433
mutation_prob__0_95,3,61,86433
mutation_prob__0_95,3,62,86326
mutation_prob__0_95,3,63,86326
mutation_prob__0_95,3,64,86034
mutation_prob__0_95,3,65,85499
mutation_prob__0_95,3,66,85499
mutation_prob__0_95,3,67,84901
mutation_prob__0_95,3,68,84610
mutation_prob__0_95,3,69,84061
mutation_prob__0_95,3,70,84061
mutation_prob__0_95,3,71,83707
mutation_prob__0_95,3,72,83531
mutation_prob__0_95,3,73,83531
mutation_prob__0_95,3,74,83395
mutation_prob__0_95,3,75,82917
mutation_prob__0_95,3,76,82873
mutation_prob__0_95,3,77,82691
mutation_prob__0_95,3,78,82399
mutation_prob__0_95,3,79,82248
mutation_prob__0_95,3,80,81875
mutation_prob__0_95,3,81,80709
mutation_prob__0_95,3,82,80709
mutation_prob__0_95,3,83,80380
mutation_prob__0_95,3,84,80380
mutation_prob__0_95,3,85,79368
mutation_prob__0_95,3,86,78940
mutation_prob__0_95,3,87,78940
mutation_prob__0_95,3,88,78940
mutation_prob__0_95,3,89,78677
mutation_prob__0_95,3,90,78605
mutation_prob__0_95,3,91,78331
mutation_prob__0_95,3,92,78253
mutation_prob__0_95,3,93,77857
mutation_prob__0_95,3,94,77857
mutation_prob__0_95,3,95,77590
mutation_prob__0_95,3,96,77391
mutation_prob__0_95,3,97,77391
mutation_prob__0_95,3,98,77169
mutation_prob__0_95,3,99,77169
mutation_prob__0_95,3,100,76608
mutation_prob__0_95,4,1,117300
mutation_prob__0_95,4,2,117300
mutation_prob__0_95,4,3,113492
mutation_prob__0_95,4,4,113334
mutation_prob__0_95,4,5,112183
mutation_prob__0_95,4,6,112164
mutation_prob__0_95,4,7,111302
mutation_prob__0_95,4,8,111086
mutation_prob__0_95,4,9,110075
mutation_prob__0_95,4,10,108995
mutation_prob__0_95,4,11,107925
mutation_prob__0_95,4,12,107866
mutation_prob__0_95,4,13,106151
mutation_prob__0_95,4,14,105980
mutation_prob__0_95,4,15,105348
mutation_prob__0_95,4,16,104800
mutation_prob__0_95,4,17,104232
mutation_prob__0_95,4,18,103886
mutation_prob__0_95,4,19,103091
mutation_prob__0_95,4,20,102889
mutation_prob__0_95,4,21,102281
mutation_prob__0_95,4,22,101823
mutation_prob__0_95,4,23,101180
mutation_prob__0_95,4,24,100722
mutation_prob__0_95,4,25,100722
mutation_prob__0_95,4,26,100485
mutation_prob__0_95,4,27,99716
mutation_prob__0_95,4,28,99305
mutation_prob__0_95,4,29,98946
mutation_prob__0_95,4,30,98113
mutation_prob__0_95,4,31,97760
mutation_prob__0_95,4,32,97381
mutation_prob__0_95,4,33,97278
mutation_prob__0_95,4,34,96201
mutation_prob__0_95,4,35,95831
mutation_prob__0_95,4,36,95831
mutation_prob__0_95,4,37,94765
mutation_prob__0_95,4,38,94162
mutation_prob__0_95,4,39,94162
mutation_prob__0_95,4,40,94081
mutation_prob__0_95,4,41,94081
mutation_prob__0_95,4,42,92650
mutation_prob__0_95,4,43,92569
mutation_prob__0_95,4,44,92569
mutation_prob__0_95,4,45,92363
mutation_prob__0_95,4,46,92218
mutation_prob__0_95,4,47,92218
mutation_prob__0_95,4,48,91763
mutation_prob__0_95,4,49,91763
mutation_prob__0_95,4,50,90861
mutation_prob__0_95,4,51,90861
mutation_prob__0_95,4,52,89775
mutation_prob__0_95,4,53,89681
mutation_prob__0_95,4,54,89105
mutation_prob__0_95,4,55,89031
mutation_prob__0_95,4,56,88216
mutation_prob__0_95,4,57,88099
mutation_prob__0_95,4,58,87372
mutation_prob__0_95,4,59,87372
mutation_prob__0_95,4,60,87353
mutation_prob__0_95,4,61,86906
mutation_prob__0_95,4,62,86724
mutation_prob__0_95,4,63,86721
mutation_prob__0_95,4,64,85997
mutation_prob__0_95,4,65,85821
mutation_prob__0_95,4,66,85535
mutation_prob__0_95,4,67,85528
mutation_prob__0_95,4,68,85528
mutation_prob__0_95,4,69,84891
mutation_prob__0_95,4,70,84333
mutation_prob__0_95,4,71,84328
mutation_prob__0_95,4,72,84160
mutation_prob__0_95,4,73,83477
mutation_prob__0_95,4,74,83477
mutation_prob__0_95,4,75,83035
mutation_prob__0_95,4,76,83035
mutation_prob__0_95,4,77,82974
mutation_prob__0_95,4,78,82974
mutation_prob__0_95,4,79,82455
mutation_prob__0_95,4,80,82285
mutation_prob__0_95,4,81,81930
mutation_prob__0_95,4,82,81797
mutation_prob__0_95,4,83,81797
mutation_prob__0_95,4,84,81402
mutation_prob__0_95,4,85,80945
mutation_prob__0_95,4,86,80945
mutation_prob__0_95,4,87,80890
mutation_prob__0_95,4,88,80890
mutation_prob__0_95,4,89,80363
mutation_prob__0_95,4,90,80363
mutation_prob__0_95,4,91,79948
mutation_prob__0_95,4,92,79948
mutation_prob__0_95,4,93,79948
mutation_prob__0_95,4,94,79835
mutation_prob__0_95,4,95,79638
mutation_prob__0_95,4,96,79470
mutation_prob__0_95,4,97,78706
mutation_prob__0_95,4,98,78706
mutation_prob__0_95,4,99,78459
mutation_prob__0_95,4,100,78145
mutation_prob__0_95,5,1,118951
mutation_prob__0_95,5,2,118095
mutation_prob__0_95,5,3,116474
mutation_prob__0_95,5,4,115883
mutation_prob__0_95,5,5,114344
mutation_prob__0_95,5,6,113256
mutation_prob__0_95,5,7,111407
mutation_prob__0_95,5,8,111407
mutation_prob__0_95,5,9,111407
mutation_prob__0_95,5,10,107671
mutation_prob__0_95,5,11,107671
mutation_prob__0_95,5,12,107671
mutation_prob__0_95,5,13,107671
mutation_prob__0_95,5,14,106161
mutation_prob__0_95,5,15,103747
mutation_prob__0_95,5,16,103747
mutation_prob__0_95,5,17,103321
mutation_prob__0_95,5,18,101984
mutation_prob__0_95,5,19,101984
mutation_prob__0_95,5,20,101762
mutation_prob__0_95,5,21,101715
mutation_prob__0_95,5,22,100869
mutation_prob__0_95,5,23,99905
mutation_prob__0_95,5,24,99151
mutation_prob__0_95,5,25,99151
mutation_prob__0_95,5,26,98574
mutation_prob__0_95,5,27,97709
mutation_prob__0_95,5,28,97586
mutation_prob__0_95,5,29,97189
mutation_prob__0_95,5,30,96738
mutation_prob__0_95,5,31,96020
mutation_prob__0_95,5,32,96020
mutation_prob__0_95,5,33,95628
mutation_prob__0_95,5,34,95269
mutation_prob__0_95,5,35,95269
mutation_prob__0_95,5,36,95208
mutation_prob__0_95,5,37,94807
mutation_prob__0_95,5,38,94807
mutation_prob__0_95,5,39,94807
mutation_prob__0_95,5,40,94684
mutation_prob__0_95,5,41,94242
mutation_prob__0_95,5,42,94223
mutation_prob__0_95,5,43,93736
mutation_prob__0_95,5,44,93736
mutation_prob__0_95,5,45,93234
mutation_prob__0_95,5,46,92680
mutation_prob__0_95,5,47,92680
mutation_prob__0_95,5,48,92094
mutation_prob__0_95,5,49,91243
mutation_prob__0_95,5,50,91243
mutation_prob__0_95,5,51,91056
mutation_prob__0_95,5,52,90864
mutation_prob__0_95,5,53,90638
