version,run,generation,value
mutation_structure_with_mutation_structure,1,1,117364
mutation_structure_with_mutation_structure,1,2,116861
mutation_structure_with_mutation_structure,1,3,114941
mutation_structure_with_mutation_structure,1,4,113022
mutation_structure_with_mutation_structure,1,5,113000
mutation_structure_with_mutation_structure,1,6,111361
mutation_structure_with_mutation_structure,1,7,111289
mutation_structure_with_mutation_structure,1,8,111002
mutation_structure_with_mutation_structure,1,9,110268
mutation_structure_with_mutation_structure,1,10,109333
mutation_structure_with_mutation_structure,1,11,108315
mutation_structure_with_mutation_structure,1,12,108315
mutation_structure_with_mutation_structure,1,13,107517
mutation_structure_with_mutation_structure,1,14,107049
mutation_structure_with_mutation_structure,1,15,106891
mutation_structure_with_mutation_structure,1,16,106796
mutation_structure_with_mutation_structure,1,17,106311
mutation_structure_with_mutation_structure,1,18,105728
mutation_structure_with_mutation_structure,1,19,104813
mutation_structure_with_mutation_structure,1,20,103241
mutation_structure_with_mutation_structure,1,21,103241
mutation_structure_with_mutation_structure,1,22,101666
mutation_structure_with_mutation_structure,1,23,101318
mutation_structure_with_mutation_structure,1,24,100124
mutation_structure_with_mutation_structure,1,25,99853
mutation_structure_with_mutation_structure,1,26,98437
mutation_structure_with_mutation_structure,1,27,97944
mutation_structure_with_mutation_structure,1,28,95388
mutation_structure_with_mutation_structure,1,29,95172
mutation_structure_with_mutation_structure,1,30,93934
mutation_structure_with_mutation_structure,1,31,93776
mutation_structure_with_mutation_structure,1,32,93649
mutation_structure_with_mutation_structure,1,33,93432
mutation_structure_with_mutation_structure,1,34,92639
mutation_structure_with_mutation_structure,1,35,92233
mutation_structure_with_mutation_structure,1,36,91890
mutation_structure_with_mutation_structure,1,37,91418
mutation_structure_with_mutation_structure,1,38,91242
mutation_structure_with_mutation_structure,1,39,90606
mutation_structure_with_mutation_structure,1,40,90321
mutation_structure_with_mutation_structure,1,41,89986
mutation_structure_with_mutation_structure,1,42,89343
mutation_structure_with_mutation_structure,1,43,89214
mutation_structure_with_mutation_structure,1,44,89063
mutation_structure_with_mutation_structure,1,45,88748
mutation_structure_with_mutation_structure,1,46,88648
mutation_structure_with_mutation_structure,1,47,88506
mutation_structure_with_mutation_structure,1,48,88506
mutation_structure_with_mutation_structure,1,49,88506
mutation_structure_with_mutation_structure,1,50,88269
mutation_structure_with_mutation_structure,1,51,88034
mutation_structure_with_mutation_structure,1,52,88034
mutation_structure_with_mutation_structure,1,53,87894
mutation_structure_with_mutation_structure,1,54,87653
mutation_structure_with_mutation_structure,1,55,87320
mutation_structure_with_mutation_structure,1,56,87147
mutation_structure_with_mutation_structure,1,57,86720
mutation_structure_with_mutation_structure,1,58,86155
mutation_structure_with_mutation_structure,1,59,86036
mutation_structure_with_mutation_structure,1,60,86036
mutation_structure_with_mutation_structure,1,61,85572
mutation_structure_with_mutation_structure,1,62,85253
mutation_structure_with_mutation_structure,1,63,85253
mutation_structure_with_mutation_structure,1,64,84816
mutation_structure_with_mutation_structure,1,65,84250
mutation_structure_with_mutation_structure,1,66,84250
mutation_structure_with_mutation_structure,1,67,83762
mutation_structure_with_mutation_structure,1,68,83568
mutation_structure_with_mutation_structure,1,69,83424
mutation_structure_with_mutation_structure,1,70,82968
mutation_structure_with_mutation_structure,1,71,82742
mutation_structure_with_mutation_structure,1,72,82596
mutation_structure_with_mutation_structure,1,73,82434
mutation_structure_with_mutation_structure,1,74,82221
mutation_structure_with_mutation_structure,1,75,81741
mutation_structure_with_mutation_structure,1,76,81429
mutation_structure_with_mutation_structure,1,77,80716
mutation_structure_with_mutation_structure,1,78,80716
mutation_structure_with_mutation_structure,1,79,80465
mutation_structure_with_mutation_structure,1,80,79902
mutation_structure_with_mutation_structure,1,81,79700
mutation_structure_with_mutation_structure,1,82,79559
mutation_structure_with_mutation_structure,1,83,79559
mutation_structure_with_mutation_structure,1,84,79427
mutation_structure_with_mutation_structure,1,85,79036
mutation_structure_with_mutation_structure,1,86,78657
mutation_structure_with_mutation_structure,1,87,78458
mutation_structure_with_mutation_structure,1,88,77993
mutation_structure_with_mutation_structure,1,89,77794
mutation_structure_with_mutation_structure,1,90,77681
mutation_structure_with_mutation_structure,1,91,77407
mutation_structure_with_mutation_structure,1,92,77167
mutation_structure_with_mutation_structure,1,93,76970
mutation_structure_with_mutation_structure,1,94,76970
mutation_structure_with_mutation_structure,1,95,76957
mutation_structure_with_mutation_structure,1,96,76846
mutation_structure_with_mutation_structure,1,97,76846
mutation_structure_with_mutation_structure,1,98,76846
mutation_structure_with_mutation_structure,1,99,76185
mutation_structure_with_mutation_structure,1,100,76185
mutation_structure_with_mutation_structure,2,1,116534
mutation_structure_with_mutation_structure,2,2,116534
mutation_structure_with_mutation_structure,2,3,115199
mutation_structure_with_mutation_structure,2,4,112512
mutation_structure_with_mutation_structure,2,5,112512
mutation_structure_with_mutation_structure,2,6,112242
mutation_structure_with_mutation_structure,2,7,111694
