version,run,generation,value
selection_tournament_selection,1,1,118126
selection_tournament_selection,1,2,113665
selection_tournament_selection,1,3,113282
selection_tournament_selection,1,4,113282
selection_tournament_selection,1,5,111639
selection_tournament_selection,1,6,111087
selection_tournament_selection,1,7,110977
selection_tournament_selection,1,8,109576
selection_tournament_selection,1,9,109576
selection_tournament_selection,1,10,107720
selection_tournament_selection,1,11,106634
selection_tournament_selection,1,12,106634
selection_tournament_selection,1,13,106511
selection_tournament_selection,1,14,105868
selection_tournament_selection,1,15,104850
selection_tournament_selection,1,16,104850
selection_tournament_selection,1,17,104525
selection_tournament_selection,1,18,104451
selection_tournament_selection,1,19,103556
selection_tournament_selection,1,20,103217
selection_tournament_selection,1,21,102585
selection_tournament_selection,1,22,102390
selection_tournament_selection,1,23,102123
selection_tournament_selection,1,24,101212
selection_tournament_selection,1,25,101212
selection_tournament_selection,1,26,99952
selection_tournament_selection,1,27,99952
selection_tournament_selection,1,28,99384
selection_tournament_selection,1,29,98801
selection_tournament_selection,1,30,98801
selection_tournament_selection,1,31,98446
selection_tournament_selection,1,32,98446
selection_tournament_selection,1,33,98446
selection_tournament_selection,1,34,98069
selection_tournament_selection,1,35,98069
selection_tournament_selection,1,36,98032
selection_tournament_selection,1,37,97631
selection_tournament_selection,1,38,97449
selection_tournament_selection,1,39,96846
selection_tournament_selection,1,40,96580
selection_tournament_selection,1,41,96481
selection_tournament_selection,1,42,96481
selection_tournament_selection,1,43,96476
selection_tournament_selection,1,44,96345
selection_tournament_selection,1,45,95424
selection_tournament_selection,1,46,95419
selection_tournament_selection,1,47,94854
selection_tournament_selection,1,48,94854
selection_tournament_selection,1,49,94854
selection_tournament_selection,1,50,94467
selection_tournament_selection,1,51,94272
selection_tournament_selection,1,52,94272
selection_tournament_selection,1,53,93862
selection_tournament_selection,1,54,93717
selection_tournament_selection,1,55,93076
selection_tournament_selection,1,56,93055
selection_tournament_selection,1,57,92775
selection_tournament_selection,1,58,92654
selection_tournament_selection,1,59,92110
selection_tournament_selection,1,60,92090
selection_tournament_selection,1,61,92019
selection_tournament_selection,1,62,91725
selection_tournament_selection,1,63,91524
selection_tournament_selection,1,64,91277
selection_tournament_selection,1,65,91277
selection_tournament_selection,1,66,91071
selection_tournament_selection,1,67,90624
selection_tournament_selection,1,68,90624
selection_tournament_selection,1,69,90383
selection_tournament_selection,1,70,90383
selection_tournament_selection,1,71,90218
selection_tournament_selection,1,72,90218
selection_tournament_selection,1,73,90218
selection_tournament_selection,1,74,90196
selection_tournament_selection,1,75,90196
selection_tournament_selection,1,76,90152
selection_tournament_selection,1,77,89831
selection_tournament_selection,1,78,89831
selection_tournament_selection,1,79,89416
selection_tournament_selection,1,80,89416
selection_tournament_selection,1,81,89217
selection_tournament_selection,1,82,89197
selection_tournament_selection,1,83,89131
selection_tournament_selection,1,84,88982
selection_tournament_selection,1,85,88982
selection_tournament_selection,1,86,88593
selection_tournament_selection,1,87,88593
selection_tournament_selection,1,88,88593
selection_tournament_selection,1,89,88593
selection_tournament_selection,1,90,88593
selection_tournament_selection,1,91,88593
selection_tournament_selection,1,92,88395
selection_tournament_selection,1,93,88395
selection_tournament_selection,1,94,88358
selection_tournament_selection,1,95,88358
selection_tournament_selection,1,96,87854
selection_tournament_selection,1,97,87854
selection_tournament_selection,1,98,87460
selection_tournament_selection,1,99,87382
selection_tournament_selection,1,100,86906
selection_tournament_selection,2,1,117153
selection_tournament_selection,2,2,116705
selection_tournament_selection,2,3,115059
selection_tournament_selection,2,4,114143
selection_tournament_selection,2,5,113414
selection_tournament_selection,2,6,109913
selection_tournament_selection,2,7,109331
selection_tournament_selection,2,8,108882
selection_tournament_selection,2,9,105555
selection_tournament_selection,2,10,105201
selection_tournament_selection,2,11,105041
selection_tournament_selection,2,12,104289
selection_tournament_selection,2,13,104181
selection_tournament_selection,2,14,103711
selection_tournament_selection,2,15,103094
selection_tournament_selection,2,16,102801
selection_tournament_selection,2,17,101922
selection_tournament_selection,2,18,101470
selection_tournament_selection,2,19,101022
selection_tournament_selection,2,20,100133
selection_tournament_selection,2,21,99833
selection_tournament_selection,2,22,98903
selection_tournament_selection,2,23,98628
selection_tournament_selection,2,24,98470
selection_tournament_selection,2,25,97308
selection_tournament_selection,2,26,97024
selection_tournament_selection,2,27,96698
selection_tournament_selection,2,28,96698
selection_tournament_selection,2,29,96127
selection_tournament_selection,2,30,95006
selection_tournament_selection,2,31,95006
selection_tournament_selection,2,32,94787
selection_tournament_selection,2,33,94492
selection_tournament_selection,2,34,94374
selection_tournament_selection,2,35,94039
selection_tournament_selection,2,36,93873
selection_tournament_selection,2,37,92987
selection_tournament_selection,2,38,92268
selection_tournament_selection,2,39,92105
selection_tournament_selection,2,40,91656
selection_tournament_selection,2,41,91585
selection_tournament_selection,2,42,91149
selection_tournament_selection,2,43,90850
selection_tournament_selection,2,44,90432
selection_tournament_selection,2,45,90063
selection_tournament_selection,2,46,90008
selection_tournament_selection,2,47,89448
selection_tournament_selection,2,48,89033
selection_tournament_selection,2,49,89033
selection_tournament_selection,2,50,88574
selection_tournament_selection,2,51,88574
selection_tournament_selection,2,52,87690
selection_tournament_selection,2,53,87444
selection_tournament_selection,2,54,87186
selection_tournament_selection,2,55,87186
selection_tournament_selection,2,56,86849
selection_tournament_selection,2,57,86488
selection_tournament_selection,2,58,86133
selection_tournament_selection,2,59,85932
selection_tournament_selection,2,60,85742
selection_tournament_selection,2,61,85742
selection_tournament_selection,2,62,85576
selection_tournament_selection,2,63,85386
selection_tournament_selection,2,64,85221
selection_tournament_selection,2,65,84830
selection_tournament_selection,2,66,84449
selection_tournament_selection,2,67,84189
selection_tournament_selection,2,68,84102
selection_tournament_selection,2,69,83999
selection_tournament_selection,2,70,83816
selection_tournament_selection,2,71,83627
selection_tournament_selection,2,72,83551
selection_tournament_selection,2,73,83132
selection_tournament_selection,2,74,83132
selection_tournament_selection,2,75,82961
selection_tournament_selection,2,76,82825
selection_tournament_selection,2,77,82362
selection_tournament_selection,2,78,82362
selection_tournament_selection,2,79,82055
selection_tournament_selection,2,80,81998
selection_tournament_selection,2,81,81974
selection_tournament_selection,2,82,81974
selection_tournament_selection,2,83,81892
selection_tournament_selection,2,84,81647
selection_tournament_selection,2,85,81606
selection_tournament_selection,2,86,81207
selection_tournament_selection,2,87,80528
selection_tournament_selection,2,88,79923
selection_tournament_selection,2,89,79923
selection_tournament_selection,2,90,79803
selection_tournament_selection,2,91,79758
selection_tournament_selection,2,92,79484
selection_tournament_selection,2,93,79484
selection_tournament_selection,2,94,78136
selection_tournament_selection,2,95,78136
selection_tournament_selection,2,96,78136
selection_tournament_selection,2,97,77759
selection_tournament_selection,2,98,77759
selection_tournament_selection,2,99,77690
selection_tournament_selection,2,100,77279
selection_tournament_selection,3,1,118175
selection_tournament_selection,3,2,117704
selection_tournament_selection,3,3,117610
selection_tournament_selection,3,4,115197
selection_tournament_selection,3,5,114552
selection_tournament_selection,3,6,112260
selection_tournament_selection,3,7,109571
selection_tournament_selection,3,8,109571
